Indicator,PUBLISH STATES,Year,WHO region,Country,Display Value,Numeric,Low,High,Comments
Community and traditional health workers density (per 1000 population),Published,2004,Africa,Guinea-Bissau,2.92,2.92,,,
Dentistry personnel density density (per 1000 population),Published,2007,Eastern Mediterranean,Jordan,0.82,0.82,,,
Nursing and midwifery personnel density (per 1000 population),Published,2011,Europe,United Kingdom,9.472,9.472,,,"<b>Nursing and midwifery personnel: </b>Includes practising nurses and practising midwives</br><b> Country: </b>United Kingdom </br><b>Year: </b>2011</br><b>Value:</b>9.472</br><b> Data Source:</b> Health for all database, WHO/EURO "
Pharmaceutical personnel density (per 1000 population),Published,1998,Americas,Canada,0.7662,0.7662,,,
Dentistry personnel density density (per 1000 population),Published,2007,Americas,Cuba,1.781,1.781,,,Includes only dentists
Community and traditional health workers density (per 1000 population),Published,2007,South-East Asia,Bhutan,0.1048,0.1048,,,
Pharmaceutical personnel density (per 1000 population),Published,2011,Africa,Kenya,0.156,0.156,,,
Other health workers density (per 1000 population),Published,2000,Americas,Brazil,1.11,1.11,,,
Nursing and midwifery personnel density (per 1000 population),Published,2006,Eastern Mediterranean,Kuwait,3.565,3.565,,,Includes only nurses
Health management & support workers density (per 1000 population),Published,2010,Africa,Cabo Verde,0.004,0.004,,,
Laboratory health workers density (per 1000 population),Published,2008,Africa,Benin,0.027,0.027,,,
Dentistry personnel density density (per 1000 population),Published,1999,South-East Asia,Thailand,0.067,0.067,,,Includes only dentists
Community and traditional health workers density (per 1000 population),Published,2000,Eastern Mediterranean,Pakistan,0.0381,0.0381,,,
Dentistry personnel density density (per 1000 population),Published,2004,Eastern Mediterranean,Tunisia,0.25,0.25,,,
Nursing and midwifery personnel density (per 1000 population),Published,2003,Western Pacific,Tuvalu,4.5454,4.5454,,,
Pharmaceutical personnel density (per 1000 population),Published,2008,Africa,Ghana,0.071,0.071,,,
Laboratory health workers density (per 1000 population),Published,2008,Africa,Togo,0.057,0.057,,,
Laboratory health workers density (per 1000 population),Published,2001,Western Pacific,China,0.16,0.16,,,
Physicians density (per 1000 population),Published,2006,South-East Asia,India,0.61,0.61,,,
Dentistry personnel density density (per 1000 population),Published,2005,Eastern Mediterranean,Iraq,0.1201,0.1201,,,
Pharmaceutical personnel density (per 1000 population),Published,2005,Africa,Nigeria,0.092,0.092,,,
Physicians density (per 1000 population),Published,2007,Africa,Nigeria,0.403,0.403,,,
Dentistry personnel density density (per 1000 population),Published,2007,Americas,Guatemala,0.18,0.18,,,
Physicians density (per 1000 population),Published,2004,Eastern Mediterranean,Jordan,2.03,2.03,,,
Other health workers density (per 1000 population),Published,2007,Americas,Canada,0.87,0.87,,,
Physicians density (per 1000 population),Published,1991,Africa,Gabon,0.192,0.192,,,
Dentistry personnel density density (per 1000 population),Published,2007,Eastern Mediterranean,Iraq,0.116,0.116,,,Includes only dentists
Laboratory health workers density (per 1000 population),Published,2003,South-East Asia,Democratic People's Republic of Korea,0.04,0.04,,,
Pharmaceutical personnel density (per 1000 population),Published,2007,Africa,Ethiopia,0.015,0.015,,,
Nursing and midwifery personnel density (per 1000 population),Published,2006,Eastern Mediterranean,Syrian Arab Republic,1.3985,1.3985,,,Includes only nurses
Physicians density (per 1000 population),Published,2000,Americas,Saint Vincent and the Grenadines,0.7542,0.7542,,,
Nursing and midwifery personnel density (per 1000 population),Published,2007,Africa,Zimbabwe,1.122,1.122,,,Includes only nurses
Pharmaceutical personnel density (per 1000 population),Published,2001,Eastern Mediterranean,Jordan,0.962,0.962,,,
Nursing and midwifery personnel density (per 1000 population),Published,1992,Americas,Colombia,0.42,0.42,,,Includes only nurses
Pharmaceutical personnel density (per 1000 population),Published,2008,Africa,Kenya,0.077,0.077,,,
Laboratory health workers density (per 1000 population),Published,2008,Africa,Central African Republic,0.008,0.008,,,
Laboratory health workers density (per 1000 population),Published,2004,Africa,Mali,0.02,0.02,,,
Dentistry personnel density density (per 1000 population),Published,2000,Americas,Mexico,0.79,0.79,,,
Other health workers density (per 1000 population),Published,2004,Eastern Mediterranean,Egypt,0.05,0.05,,,
Community and traditional health workers density (per 1000 population),Published,2004,Africa,Ethiopia,0.218,0.218,,,
Health management & support workers density (per 1000 population),Published,2005,Americas,Honduras,0.768,0.768,,,
Pharmaceutical personnel density (per 1000 population),Published,2002,Western Pacific,Viet Nam,0.2999,0.2999,,,
Pharmaceutical personnel density (per 1000 population),Published,2010,Africa,Burkina Faso,0.022,0.022,,,
Environmental and public health workers density (per 1000 population),Published,2003,South-East Asia,Democratic People's Republic of Korea,0.12,0.12,,,
Dentistry personnel density density (per 1000 population),Published,1996,Western Pacific,Niue,1,1,,,Includes only dentists
Physicians density (per 1000 population),Published,2004,Western Pacific,Cook Islands,1.1764,1.1764,,,
Physicians density (per 1000 population),Published,2004,Americas,Chile,0.99,0.99,,,
Dentistry personnel density density (per 1000 population),Published,1999,Western Pacific,Solomon Islands,0.0613,0.0613,,,Includes only dentists
Dentistry personnel density density (per 1000 population),Published,2004,Eastern Mediterranean,Bahrain,0.46,0.46,,,
Dentistry personnel density density (per 1000 population),Published,2004,Africa,Cameroon,0.01,0.01,,,Includes only dentists
Community and traditional health workers density (per 1000 population),Published,2000,South-East Asia,Thailand,0.65,0.65,,,
Dentistry personnel density density (per 1000 population),Published,2009,Americas,Colombia,0.9,0.9,,,Includes only dentists
Other health workers density (per 1000 population),Published,2004,Africa,Guinea-Bissau,0.04,0.04,,,
Pharmaceutical personnel density (per 1000 population),Published,2002,Western Pacific,New Zealand,1.0192,1.0192,,,
Environmental and public health workers density (per 1000 population),Published,2008,Africa,Togo,0.01,0.01,,,
Dentistry personnel density density (per 1000 population),Published,2004,Eastern Mediterranean,Oman,0.19,0.19,,,
Nursing and midwifery personnel density (per 1000 population),Published,1997,Eastern Mediterranean,Yemen,0.407,0.407,,,
Other health workers density (per 1000 population),Published,1992,Eastern Mediterranean,Tunisia,2.942,2.942,,,
Pharmaceutical personnel density (per 1000 population),Published,1999,Europe,Croatia,0.338,0.338,,,Includes only pharmacists
Physicians density (per 1000 population),Published,2010,Western Pacific,Palau,1.38,1.38,,,
Pharmaceutical personnel density (per 1000 population),Published,2010,Africa,Rwanda,0.006,0.006,,,
Physicians density (per 1000 population),Published,2007,Eastern Mediterranean,Sudan,0.3,0.3,,,
Other health workers density (per 1000 population),Published,2003,Eastern Mediterranean,Syrian Arab Republic,0.831,0.831,,,
Other health workers density (per 1000 population),Published,2002,Western Pacific,Mongolia,1.32,1.32,,,
Dentistry personnel density density (per 1000 population),Published,2009,Western Pacific,Tonga,0.36,0.36,,,
Nursing and midwifery personnel density (per 1000 population),Published,2001,Americas,Ecuador,1.62,1.62,,,
Nursing and midwifery personnel density (per 1000 population),Published,2004,Americas,Canada,9.5,9.5,,,
Pharmaceutical personnel density (per 1000 population),Published,2004,Africa,Ghana,0.06,0.06,,,Includes only technicians/assistants
Dentistry personnel density density (per 1000 population),Published,2006,Americas,Canada,1.1763,1.1763,,,
Environmental and public health workers density (per 1000 population),Published,2004,Africa,Gambia,0.03,0.03,,,
Physicians density (per 1000 population),Published,1996,Eastern Mediterranean,Tunisia,0.681,0.681,,,
Physicians density (per 1000 population),Published,2009,Western Pacific,New Zealand,2.68,2.68,,,
Pharmaceutical personnel density (per 1000 population),Published,2011,Europe,Albania,0.432,0.432,,,
Other health workers density (per 1000 population),Published,2012,South-East Asia,Indonesia,0.221,0.221,,,
Health management & support workers density (per 1000 population),Published,2006,Africa,Nigeria,0.007,0.007,,,
Nursing and midwifery personnel density (per 1000 population),Published,2009,Eastern Mediterranean,Lebanon,2.23,2.23,,,
Pharmaceutical personnel density (per 1000 population),Published,2006,Eastern Mediterranean,Tunisia,0.221,0.221,,,
Pharmaceutical personnel density (per 1000 population),Published,1995,Africa,Zimbabwe,0.06,0.06,,,
Pharmaceutical personnel density (per 1000 population),Published,1991,Americas,Ecuador,0.02,0.02,,,Includes only pharmacists
Health management & support workers density (per 1000 population),Published,2008,Western Pacific,Micronesia (Federated States of),0.38,0.38,,,
Nursing and midwifery personnel density (per 1000 population),Published,2008,Africa,Cabo Verde,1.317,1.317,,,Includes only nurses
Environmental and public health workers density (per 1000 population),Published,2006,Africa,Zambia,0.068,0.068,,,
Pharmaceutical personnel density (per 1000 population),Published,2009,Western Pacific,Fiji,0.09,0.09,,,
Nursing and midwifery personnel density (per 1000 population),Published,2000,Europe,Turkey,1.628,1.628,,,<b>Nursing and midwifery personnel: </b>Includes public and private sectors.  Includes village midwives.</br><b> Country: </b>Turkey </br><b>Year: </b>2000</br><b>Value:</b>1.628</br><b> Data Source:</b> Ministry of Health
Dentistry personnel density density (per 1000 population),Published,2010,Europe,Montenegro,0.048,0.048,,,
Dentistry personnel density density (per 1000 population),Published,1998,Americas,Argentina,0.8,0.8,,,Includes only dentists
Dentistry personnel density density (per 1000 population),Published,2004,Americas,Cuba,0.92,0.92,,,Includes only dentists
Dentistry personnel density density (per 1000 population),Published,2010,Africa,Cabo Verde,0.007,0.007,,,
Nursing and midwifery personnel density (per 1000 population),Published,2009,South-East Asia,Myanmar,0.827,0.827,,,<b>Nursing and midwifery personnel: </b></br><b> Country: </b>Myanmar </br><b>Year: </b>2009</br><b>Value:</b>0.827</br><b> Data Source:</b> Ministry of Health
Pharmaceutical personnel density (per 1000 population),Published,2012,South-East Asia,India,0.541,0.541,,,
Other health workers density (per 1000 population),Published,1991,South-East Asia,Maldives,0.176,0.176,,,
Nursing and midwifery personnel density (per 1000 population),Published,1998,Eastern Mediterranean,Jordan,2.929,2.929,,,<b>Nursing and midwifery personnel: </b></br><b> Country: </b>Jordan </br><b>Year: </b>1998</br><b>Value:</b>2.929</br><b> Data Source:</b> Ministry of Health
Pharmaceutical personnel density (per 1000 population),Published,2000,Western Pacific,Philippines,0.03,0.03,,,Includes only pharmacists
Physicians density (per 1000 population),Published,2003,Americas,Ecuador,1.54,1.54,,,
Laboratory health workers density (per 1000 population),Published,2004,Africa,C?te d'Ivoire,0.07,0.07,,,
Other health workers density (per 1000 population),Published,2009,Americas,Belize,0.433,0.433,,,
Pharmaceutical personnel density (per 1000 population),Published,2007,Western Pacific,Brunei Darussalam,0.108,0.108,,,Includes only pharmacists
Nursing and midwifery personnel density (per 1000 population),Published,2005,Africa,Nigeria,1.623,1.623,,,<b>Nursing and midwifery personnel: </b></br><b> Country: </b>Nigeria </br><b>Year: </b>2005</br><b>Value:</b>1.623</br><b> Data Source:</b> National Professional medical/health regulatory bodies
Dentistry personnel density density (per 1000 population),Published,2004,Western Pacific,Niue,1,1,,,
Dentistry personnel density density (per 1000 population),Published,2000,South-East Asia,Sri Lanka,0.034,0.034,,,Includes only dentists
Community and traditional health workers density (per 1000 population),Published,1999,Americas,Saint Kitts and Nevis,0.744,0.744,,,
Health management & support workers density (per 1000 population),Published,2004,Eastern Mediterranean,Morocco,0.2,0.2,,,
Physicians density (per 1000 population),Published,1991,South-East Asia,Thailand,0.232,0.232,,,
Pharmaceutical personnel density (per 1000 population),Published,2007,Africa,Namibia,0.181,0.181,,,
Pharmaceutical personnel density (per 1000 population),Published,2009,Europe,Turkey,0.327,0.327,,,
Pharmaceutical personnel density (per 1000 population),Published,2007,Eastern Mediterranean,Jordan,1.356,1.356,,,
Physicians density (per 1000 population),Published,2003,Europe,Kazakhstan,3.539,3.539,,,
Nursing and midwifery personnel density (per 1000 population),Published,2008,Africa,C?te d'Ivoire,0.483,0.483,,,
Laboratory health workers density (per 1000 population),Published,2004,Africa,Ethiopia,0.037,0.037,,,
Laboratory health workers density (per 1000 population),Published,2009,Americas,Peru,0.038,0.038,,,
Physicians density (per 1000 population),Published,2000,Eastern Mediterranean,Pakistan,0.6436,0.6436,,,
Physicians density (per 1000 population),Published,2004,Africa,Guinea-Bissau,0.12,0.12,,,
Dentistry personnel density density (per 1000 population),Published,2005,Eastern Mediterranean,Kuwait,0.3014,0.3014,,,
Nursing and midwifery personnel density (per 1000 population),Published,1995,Americas,Colombia,0.45,0.45,,,Includes only nurses
Environmental and public health workers density (per 1000 population),Published,2004,Africa,Eritrea,0.02,0.02,,,
Environmental and public health workers density (per 1000 population),Published,2008,Africa,Central African Republic,0.02,0.02,,,
Other health workers density (per 1000 population),Published,2004,Africa,Mauritius,0.12,0.12,,,
Pharmaceutical personnel density (per 1000 population),Published,2005,Eastern Mediterranean,Kuwait,0.4986,0.4986,,,
Physicians density (per 1000 population),Published,2000,Americas,Brazil,1.15,1.15,,,
Physicians density (per 1000 population),Published,2008,Americas,Mexico,1.93,1.93,,,
Physicians density (per 1000 population),Published,2000,Americas,Honduras,0.57,0.57,,,
Nursing and midwifery personnel density (per 1000 population),Published,2009,Eastern Mediterranean,Egypt,3.52,3.52,,,
Health management & support workers density (per 1000 population),Published,2009,Africa,Rwanda,0.104,0.104,,,
Other health workers density (per 1000 population),Published,2000,Europe,Turkey,0.76,0.76,,,
Nursing and midwifery personnel density (per 1000 population),Published,2008,Africa,Togo,0.274,0.274,,,
Dentistry personnel density density (per 1000 population),Published,1990,Eastern Mediterranean,Oman,0.046,0.046,,,Includes only dentists
Other health workers density (per 1000 population),Published,2008,Europe,Belgium,7.097,7.097,,,
Dentistry personnel density density (per 1000 population),Published,2001,Americas,Barbados,0.231,0.231,,,
Laboratory health workers density (per 1000 population),Published,2005,Africa,Gambia,0.038,0.038,,,
Pharmaceutical personnel density (per 1000 population),Published,2010,Europe,Luxembourg,0.757,0.757,,,
Physicians density (per 1000 population),Published,2006,Africa,Mozambique,0.027,0.027,,,
Physicians density (per 1000 population),Published,1999,Europe,Hungary,3.618,3.618,,,
Dentistry personnel density density (per 1000 population),Published,2010,Eastern Mediterranean,Jordan,0.898,0.898,,,
Community and traditional health workers density (per 1000 population),Published,1999,Americas,Grenada,0.56,0.56,,,
Other health workers density (per 1000 population),Published,1995,Eastern Mediterranean,Tunisia,2.891,2.891,,,
Physicians density (per 1000 population),Published,2005,Americas,Colombia,1.38,1.38,,,
Health management & support workers density (per 1000 population),Published,2004,Africa,Mauritius,1.64,1.64,,,
Physicians density (per 1000 population),Published,2000,Americas,Dominican Republic,1.88,1.88,,,
Other health workers density (per 1000 population),Published,2003,Africa,Lesotho,0.02,0.02,,,
Pharmaceutical personnel density (per 1000 population),Published,2008,Eastern Mediterranean,Syrian Arab Republic,0.81,0.81,,,
Pharmaceutical personnel density (per 1000 population),Published,2008,Africa,Sierra Leone,0.032,0.032,,,
Laboratory health workers density (per 1000 population),Published,2004,South-East Asia,Nepal,0.12,0.12,,,
Health management & support workers density (per 1000 population),Published,2004,South-East Asia,Timor-Leste,0.22,0.22,,,
Other health workers density (per 1000 population),Published,2005,Eastern Mediterranean,Oman,1.88,1.88,,,
Other health workers density (per 1000 population),Published,2008,South-East Asia,Myanmar,0.035,0.035,,,
Physicians density (per 1000 population),Published,2008,Africa,Sierra Leone,0.016,0.016,,,
Pharmaceutical personnel density (per 1000 population),Published,2004,South-East Asia,Sri Lanka,0.06,0.06,,,Includes only pharmacists
Dentistry personnel density density (per 1000 population),Published,2010,Africa,Sierra Leone,0.001,0.001,,,
Dentistry personnel density density (per 1000 population),Published,2006,Eastern Mediterranean,Afghanistan,0.011,0.011,,,Includes only dentists
Physicians density (per 1000 population),Published,2000,Eastern Mediterranean,Syrian Arab Republic,1.353,1.353,,,
Other health workers density (per 1000 population),Published,2009,Africa,Malawi,0.138,0.138,,,
Environmental and public health workers density (per 1000 population),Published,1996,South-East Asia,Maldives,0.186,0.186,,,
Physicians density (per 1000 population),Published,2008,Western Pacific,Kiribati,0.24,0.24,,,
Physicians density (per 1000 population),Published,2002,Americas,Cuba,5.95,5.95,,,
Pharmaceutical personnel density (per 1000 population),Published,1993,Eastern Mediterranean,Tunisia,0.153,0.153,,,Includes only pharmacists
Dentistry personnel density density (per 1000 population),Published,2001,Americas,Venezuela (Bolivarian Republic of),0.55,0.55,,,
Physicians density (per 1000 population),Published,2003,Africa,Nigeria,0.28,0.28,,,
Environmental and public health workers density (per 1000 population),Published,2008,Africa,Benin,0.023,0.023,,,
Other health workers density (per 1000 population),Published,2010,Europe,Kazakhstan,9.716,9.716,,,
Community and traditional health workers density (per 1000 population),Published,2007,South-East Asia,Myanmar,0.08,0.08,,,
Other health workers density (per 1000 population),Published,2008,Americas,Uruguay,1.37,1.37,,,
Pharmaceutical personnel density (per 1000 population),Published,2008,Africa,Zimbabwe,0.025,0.025,,,
Dentistry personnel density density (per 1000 population),Published,1997,Europe,Turkey,0.195,0.195,,,Includes only dentists
Dentistry personnel density density (per 1000 population),Published,2009,Africa,Zimbabwe,0.014,0.014,,,
Health management & support workers density (per 1000 population),Published,2004,Eastern Mediterranean,Egypt,0.07,0.07,,,
Pharmaceutical personnel density (per 1000 population),Published,2002,Eastern Mediterranean,Tunisia,0.211,0.211,,,
Physicians density (per 1000 population),Published,2007,Eastern Mediterranean,Kuwait,1.659,1.659,,,
Laboratory health workers density (per 1000 population),Published,2008,South-East Asia,Bhutan,0.004,0.004,,,
Environmental and public health workers density (per 1000 population),Published,2004,Africa,Niger,0.02,0.02,,,
Health management & support workers density (per 1000 population),Published,2008,Africa,C?te d'Ivoire,0.902,0.902,,,
Other health workers density (per 1000 population),Published,2009,Africa,Central African Republic,0.067,0.067,,,
Health management & support workers density (per 1000 population),Published,2005,Africa,Algeria,1.875,1.875,,,
Other health workers density (per 1000 population),Published,2005,Africa,C?te d'Ivoire,0.234,0.234,,,
Dentistry personnel density density (per 1000 population),Published,2005,Western Pacific,Micronesia (Federated States of),0.118,0.118,,,Includes only dentists
Nursing and midwifery personnel density (per 1000 population),Published,1999,Western Pacific,Singapore,4.07,4.07,,,
Physicians density (per 1000 population),Published,2001,Western Pacific,Viet Nam,0.53,0.53,,,
Pharmaceutical personnel density (per 1000 population),Published,2009,Africa,Cameroon,0.002,0.002,,,
Nursing and midwifery personnel density (per 1000 population),Published,2006,Eastern Mediterranean,Djibouti,0.399,0.399,,,Includes only nurses
Nursing and midwifery personnel density (per 1000 population),Published,2010,Europe,Slovenia,8.612,8.612,,,"<b>Nursing and midwifery personnel: </b>Includes practising nurses and practising midwives</br><b> Country: </b>Slovenia </br><b>Year: </b>2010</br><b>Value:</b>8.612</br><b> Data Source:</b> Health for all database, WHO/EURO "
Physicians density (per 1000 population),Published,2006,Africa,Zambia,0.055,0.055,,,
Dentistry personnel density density (per 1000 population),Published,2007,Africa,Madagascar,0.003,0.003,,,
Dentistry personnel density density (per 1000 population),Published,1996,Western Pacific,Cambodia,0.016,0.016,,,
Nursing and midwifery personnel density (per 1000 population),Published,2008,Western Pacific,Papua New Guinea,0.46,0.46,,,
Physicians density (per 1000 population),Published,2005,Africa,Uganda,0.117,0.117,,,
Physicians density (per 1000 population),Published,1994,Europe,Croatia,2.02,2.02,,,
Nursing and midwifery personnel density (per 1000 population),Published,2008,Africa,Malawi,0.283,0.283,,,Includes only nurses
Physicians density (per 1000 population),Published,2004,Americas,Argentina,3.155,3.155,,,
Physicians density (per 1000 population),Published,2009,South-East Asia,Myanmar,0.469,0.469,,,
Dentistry personnel density density (per 1000 population),Published,2011,Europe,United Kingdom,0.53,0.53,,,
Nursing and midwifery personnel density (per 1000 population),Published,1993,South-East Asia,Maldives,0.797,0.797,,,Includes only nurses
Nursing and midwifery personnel density (per 1000 population),Published,2000,Western Pacific,Japan,8.6886,8.6886,,,
Other health workers density (per 1000 population),Published,2002,Americas,Ecuador,0.88,0.88,,,
Environmental and public health workers density (per 1000 population),Published,2000,Americas,Panama,0.32,0.32,,,
Dentistry personnel density density (per 1000 population),Published,2009,Africa,Cabo Verde,0.005,0.005,,,Includes only dentists
Physicians density (per 1000 population),Published,1991,Americas,Colombia,1,1,,,
Other health workers density (per 1000 population),Published,2005,Western Pacific,Lao People's Democratic Republic,0.261,0.261,,,
Pharmaceutical personnel density (per 1000 population),Published,2008,Americas,Brazil,0.54,0.54,,,
Pharmaceutical personnel density (per 1000 population),Published,2001,Eastern Mediterranean,Syrian Arab Republic,0.52,0.52,,,Includes only pharmacists
Physicians density (per 1000 population),Published,2007,South-East Asia,Bangladesh,0.295,0.295,,,
Health management & support workers density (per 1000 population),Published,2005,Africa,Uganda,0.107,0.107,,,
Nursing and midwifery personnel density (per 1000 population),Published,2006,Africa,Zambia,0.706,0.706,,,
Dentistry personnel density density (per 1000 population),Published,2010,Europe,Turkey,0.274,0.274,,,
Physicians density (per 1000 population),Published,2011,Europe,San Marino,4.883,4.883,,,"<b>Physicians: </b>Includes practising physicians</br><b> Country: </b>San Marino </br><b>Year: </b>2011</br><b>Value:</b>4.883</br><b> Data Source:</b> Health for all database, WHO/EURO "
Dentistry personnel density density (per 1000 population),Published,2010,South-East Asia,Indonesia,0.078,0.078,,,
Physicians density (per 1000 population),Published,2004,Africa,Mauritania,0.11,0.11,,,
Physicians density (per 1000 population),Published,2001,Western Pacific,China,1.06,1.06,,,
Physicians density (per 1000 population),Published,2008,Western Pacific,Niue,6,6,,,
Laboratory health workers density (per 1000 population),Published,2004,Eastern Mediterranean,Bahrain,0.65,0.65,,,
Laboratory health workers density (per 1000 population),Published,2003,Americas,Canada,0.61,0.61,,,
Physicians density (per 1000 population),Published,2005,Eastern Mediterranean,Tunisia,0.933,0.933,,,
Dentistry personnel density density (per 1000 population),Published,2003,Africa,Lesotho,0.01,0.01,,,
Nursing and midwifery personnel density (per 1000 population),Published,2008,South-East Asia,Bhutan,0.288,0.288,,,"<b>Nursing and midwifery personnel: </b>Includes nurses and nurse assistants</br><b> Country: </b>Bhutan </br><b>Year: </b>2008</br><b>Value:</b>0.288</br><b> Data Source:</b> Ministry of Health, Bhutan "
Pharmaceutical personnel density (per 1000 population),Published,2004,Africa,Mali,0.03,0.03,,,Includes only technicians/assistants
Environmental and public health workers density (per 1000 population),Published,2004,Africa,Senegal,0.07,0.07,,,
Nursing and midwifery personnel density (per 1000 population),Published,2004,Africa,Ethiopia,0.215,0.215,,,<b>Nursing and midwifery personnel: </b></br><b> Country: </b>Ethiopia </br><b>Year: </b>2004</br><b>Value:</b>0.215</br><b> Data Source:</b> Federal Ministry of Health
Health management & support workers density (per 1000 population),Published,1991,Americas,Ecuador,1.22,1.22,,,
Environmental and public health workers density (per 1000 population),Published,2009,Americas,Belize,0.206,0.206,,,
Community and traditional health workers density (per 1000 population),Published,2006,Africa,Botswana,0.523,0.523,,,
Community and traditional health workers density (per 1000 population),Published,2008,Western Pacific,Micronesia (Federated States of),0.27,0.27,,,
Dentistry personnel density density (per 1000 population),Published,1992,Americas,Colombia,0.54,0.54,,,Includes only dentists
Pharmaceutical personnel density (per 1000 population),Published,1998,Eastern Mediterranean,Oman,0.199,0.199,,,
Physicians density (per 1000 population),Published,2008,Eastern Mediterranean,Afghanistan,0.145,0.145,,,
Physicians density (per 1000 population),Published,1996,Americas,Saint Kitts and Nevis,1.091,1.091,,,
Other health workers density (per 1000 population),Published,2006,Americas,Chile,0.49,0.49,,,
Physicians density (per 1000 population),Published,2007,Africa,Ghana,0.072,0.072,,,
Community and traditional health workers density (per 1000 population),Published,2004,Eastern Mediterranean,Yemen,0.29,0.29,,,
Dentistry personnel density density (per 1000 population),Published,2008,Eastern Mediterranean,Sudan,0.02,0.02,,,
Nursing and midwifery personnel density (per 1000 population),Published,1997,Europe,Turkey,1.649,1.649,,,<b>Nursing and midwifery personnel: </b>Includes public and private sectors.  Includes village midwives.</br><b> Country: </b>Turkey </br><b>Year: </b>1997</br><b>Value:</b>1.649</br><b> Data Source:</b> Ministry of Health
Nursing and midwifery personnel density (per 1000 population),Published,2011,Africa,Kenya,0.792,0.792,,,<b>Nursing and midwifery personnel: </b>Includes registered nurses only. Provisional data</br><b> Country: </b>Kenya </br><b>Year: </b>2011</br><b>Value:</b>0.792</br><b> Data Source:</b> Kenya Bureau of Statistics
Pharmaceutical personnel density (per 1000 population),Published,2009,Eastern Mediterranean,Egypt,1.67,1.67,,,
Other health workers density (per 1000 population),Published,1999,Americas,Grenada,0.09,0.09,,,
Other health workers density (per 1000 population),Published,2008,Americas,Jamaica,0.426,0.426,,,
Pharmaceutical personnel density (per 1000 population),Published,2008,Africa,Gambia,0.046,0.046,,,
Physicians density (per 1000 population),Published,2009,Western Pacific,Australia,2.991,2.991,,,
Pharmaceutical personnel density (per 1000 population),Published,2009,Eastern Mediterranean,Tunisia,0.2,0.2,,,Includes only pharmacists
Dentistry personnel density density (per 1000 population),Published,2003,South-East Asia,Democratic People's Republic of Korea,0.37,0.37,,,
Other health workers density (per 1000 population),Published,2004,South-East Asia,Maldives,0.04,0.04,,,
Dentistry personnel density density (per 1000 population),Published,2003,Eastern Mediterranean,Syrian Arab Republic,0.838,0.838,,,Includes only dentists
Dentistry personnel density density (per 1000 population),Published,2000,South-East Asia,India,0.04,0.04,,,Includes only dentists
Nursing and midwifery personnel density (per 1000 population),Published,1997,Eastern Mediterranean,Pakistan,0.3831,0.3831,,,
Physicians density (per 1000 population),Published,1999,Eastern Mediterranean,Oman,0.858,0.858,,,
Pharmaceutical personnel density (per 1000 population),Published,2008,Western Pacific,Samoa,0.31,0.31,,,
Health management & support workers density (per 1000 population),Published,2004,Africa,Swaziland,0.29,0.29,,,
Dentistry personnel density density (per 1000 population),Published,1994,Eastern Mediterranean,Pakistan,0.0212,0.0212,,,
Physicians density (per 1000 population),Published,2002,Europe,Turkey,1.308,1.308,,,
Physicians density (per 1000 population),Published,2010,South-East Asia,Indonesia,0.143,0.143,,,<b>Physicians: </b></br><b> Country: </b>Indonesia </br><b>Year: </b>2010</br><b>Value:</b>0.143</br><b> Data Source:</b> Kementerian Kesehatan Republik Indonesia
Physicians density (per 1000 population),Published,2001,Americas,Canada,1.9,1.9,,,
Pharmaceutical personnel density (per 1000 population),Published,2006,Western Pacific,Japan,1.364,1.364,,,Includes only pharmacists
Nursing and midwifery personnel density (per 1000 population),Published,2002,Americas,Saint Lucia,2.162,2.162,,,
Health management & support workers density (per 1000 population),Published,2000,Africa,Guinea,0.055,0.055,,,
Other health workers density (per 1000 population),Published,2000,Western Pacific,Philippines,1.2,1.2,,,
Community and traditional health workers density (per 1000 population),Published,2002,South-East Asia,Bangladesh,0.007,0.007,,,
Nursing and midwifery personnel density (per 1000 population),Published,2009,Eastern Mediterranean,Kuwait,4.55,4.55,,,
Physicians density (per 1000 population),Published,2010,Europe,Hungary,3.408,3.408,,,<b>Physicians: </b></br><b> Country: </b>Hungary </br><b>Year: </b>2010</br><b>Value:</b>3.408</br><b> Data Source:</b> Kozponti Statisztikai Hivatal
Nursing and midwifery personnel density (per 1000 population),Published,1999,Eastern Mediterranean,Syrian Arab Republic,1.888,1.888,,,
Physicians density (per 1000 population),Published,1997,Europe,Croatia,2.112,2.112,,,
Dentistry personnel density density (per 1000 population),Published,2004,Americas,Brazil,0.985,0.985,,,Includes only dentists
Dentistry personnel density density (per 1000 population),Published,2004,Africa,Mauritius,0.19,0.19,,,
Nursing and midwifery personnel density (per 1000 population),Published,2004,South-East Asia,Thailand,1.524,1.524,,,
Nursing and midwifery personnel density (per 1000 population),Published,2010,Europe,Hungary,6.416,6.416,,,"<b>Nursing and midwifery personnel: </b>Includes practising nurses and practising midwives</br><b> Country: </b>Hungary </br><b>Year: </b>2010</br><b>Value:</b>6.416</br><b> Data Source:</b> Health for all database, WHO/EURO "
Nursing and midwifery personnel density (per 1000 population),Published,1991,Europe,Turkey,1.384,1.384,,,<b>Nursing and midwifery personnel: </b>Includes public and private sectors.  Includes village midwives.</br><b> Country: </b>Turkey </br><b>Year: </b>1991</br><b>Value:</b>1.384</br><b> Data Source:</b> Ministry of Health
Environmental and public health workers density (per 1000 population),Published,1999,Americas,Grenada,0.19,0.19,,,
Dentistry personnel density density (per 1000 population),Published,1998,Europe,Lithuania,0.642,0.642,,,Includes only dentists
